parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
437,431,/data/rolls,0,4846,28705
440,437,/data/commitments,0,6,246
437,430,/data/active_delegates_with_rolls,13,1,41
437,434,/data/delegates,2,12,492
445,441,/data/commitments,0,15,615
435,432,/data/votes,359,9,369
435,433,/data/rolls,0,3270,19315
435,434,/,3,2,62
434,428,/data/cache,0,2,8
438,432,/data/delegates,0,2,82
444,437,/data/contracts,968,68046,1605861
438,435,/data/commitments,0,15,615
430,428,/data/commitments,0,4700,192700
440,435,/data/commitments,0,15,615
445,432,/data/contracts,607,39080,899950
429,428,/data/delegates_with_frozen_balance,382,10,188
445,440,/data/commitments,0,23,943
430,429,/data/contracts,7126,820598,19068933
433,428,/data/delegates_with_frozen_balance,250,2,82
445,428,/data/sapling,115,419,2618
